"","WaterYear","Exceedances"
"1",1996,"50 Exceedance"
"2",1997,"No Exceedance"
"3",1998,"50 75 Exceedance"
"4",1999,"50 Exceedance"
"5",2000,"Exceeds All"
"6",2001,"Exceeds All"
"7",2002,"No Exceedance"
"8",2003,"No Exceedance"
"9",2004,"No Exceedance"
"10",2005,"No Exceedance"
"11",2006,"No Exceedance"
"12",2007,"No Exceedance"
"13",2008,"No Exceedance"
"14",2009,"No Exceedance"
"15",2010,"No Exceedance"
"16",2011,"Exceeds All"
"17",2012,"Exceeds All"
"18",2013,"No Exceedance"
"19",2014,"No Exceedance"
"20",2015,"No Exceedance"
"21",2016,"No Exceedance"
"22",2017,"No Exceedance"
"23",2018,"No Exceedance"
"24",2019,"No Exceedance"
"25",2020,"No Exceedance"
"26",2021,"No Exceedance"
"27",2022,"No Exceedance"
"28",2023,"No Exceedance"
"29",2024,"Exceeds All"
